Year,Country,Song,Artist,Final_Place,Final_Points,Top 5,Top 10,Running_Order_Final,Grand_Final_Ind,Big6_Ind,Semi_Final_Num,Semi_Place,Semi_Points,Running_Order_Semi,National_Final,Genre,Solo_Artist,Sex,Returning_Artist_Ind,Number of Members,Language1,Language2,Language3,Language4,Language5,Language6,Multiple_Language,National_Language_Used,EU,NATO,Country_Group,MyESB_Community,MyESB_Personal,OGAE_Points,Qualification_Record,jury_points,tele_points,jury_points_sf,tele_points_sf,withdrawn_2026,country_code
2026,Poland,Pray,Alicja Szemplinska,,,,,18,1,,1.0,,,14.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Eastern,31,11,,0.473684211,,,,,False,POL
2026,Portugal,Rosa,Bandidos do Cante,,,,,,0,,1.0,,,5.0,1,,0,M,0,5,Portuguese,,,,,,0,True,1,1,Western,33,22,,0.526315789,,,,,False,PRT
2026,Romania,Choke Me ,Alexandra Capitanescu,,,,,24,1,,2.0,,,3.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Eastern,6,2,,0.777777778,,,,,False,ROU
2026,San Marino,Superstar,Senhit feat. Boy George,,,,,,0,,1.0,,,13.0,1,,0,Mixed,1,2,English,,,,,,0,False,0,0,Western,34,24,,0.266666667,,,,,False,SMR
2026,Serbia,Kraj mene,Lavina,,,,,9,1,,1.0,,,15.0,1,,0,M,0,6,Serbian,,,,,,0,True,0,0,Southern,16,16,,0.764705882,,,,,False,SRB
2026,Sweden,My System,Felicia,,,,,20,1,,1.0,,,2.0,1,,1,F,0,1,English,,,,,,0,False,1,0,Northern,3,12,,0.952380952,,,,,False,SWE
2026,Switzerland,Alice,Veronica Fusaro,,,,,,0,,2.0,,,7.0,0,,1,F,0,1,English,,,,,,0,False,0,0,Central,17,18,,0.476190476,,,,,False,CHE
2026,Ukraine,Ridnym,Leleka,,,,,7,1,,2.0,,,12.0,1,,1,F,0,1,English,Ukrainian,,,,,1,True,0,0,Eastern,21,30,,1.0,,,,,False,UKR
2026,United Kingdom,"Eins, zwei, drei",Look Mum No Computer,,,,,14,1,1.0,,,,,0,,1,M,0,1,English,German,,,,,1,True,0,1,Western,23,34,,,,,,,False,GBR
2025,Albania,Zjerm,Shkodra Elektronike,8.0,218.0,0.0,1.0,26.0,1.0,0.0,1.0,2.0,122.0,12.0,1,,0,Mixed,0,2,Albanian,,,,,,0,True,0,1,Southern,4,17,158.0,0.55,45.0,173.0,,,False,ALB
2025,Armenia,Survivor,Parg,20.0,72.0,0.0,0.0,18.0,1.0,0.0,2.0,10.0,51.0,5.0,1,,1,M ,0,1,English,,,,,,0,False,0,0,South-Eastern,30,30,0.0,0.8125,42.0,30.0,,,False,ARM
2025,Australia,Milkshake Man,Go-Jo,,,,,,0.0,0.0,2.0,11.0,41.0,1.0,0,,1,M,0,1,English,,,,,,0,True,0,0,Western,17,21,15.0,0.777777778,,,,,False,AUS
2025,Austria,Wasted Love,JJ,1.0,436.0,1.0,1.0,9.0,1.0,0.0,2.0,5.0,104.0,6.0,0,,1,M,0,1,English,,,,,,0,False,1,0,Central,1,11,382.0,0.5625,258.0,178.0,,,False,AUT
2025,Azerbaijan,Run with U,Mamagama,,,,,,0.0,0.0,1.0,15.0,7.0,10.0,0,,0,M,0,3,English,,,,,,0,False,0,0,South-Eastern,32,18,0.0,0.8125,,,,,False,AZE
2025,Belgium,Strobe Lights,Red Sebastian,,,,,,0.0,0.0,1.0,14.0,23.0,9.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Western,22,14,17.0,0.45,,,,,False,BEL
2025,Croatia,Poison Cake,Marko Bosnjak,,,,,,0.0,0.0,1.0,12.0,28.0,14.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Southern,34,34,0.0,0.5,,,,,False,HRV
2025,Cyprus,Shh,Theo Evan,,,,,,0.0,0.0,1.0,11.0,44.0,15.0,0,,1,M,0,1,English,,,,,,0,False,1,0,South-Eastern,27,27,0.0,0.631578947,,,,,False,CYP
2025,Czech Republic,Kiss Kiss Goodbye,Adonxs,,,,,,0.0,0.0,2.0,12.0,29.0,12.0,0,,1,M,0,1,English,,,,,,0,False,1,1,Central,14,19,34.0,0.416666667,,,,,False,CZE
2025,Denmark,Hallucination,Sissal,23.0,47.0,0.0,0.0,22.0,1.0,0.0,2.0,8.0,61.0,11.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Northern,15,3,31.0,0.6,45.0,2.0,,,False,DNK
2025,Estonia,Espresso Macchiato,Tommy Cash,3.0,356.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,113.0,4.0,1,,1,M,0,1,Italian,English,,,,,1,False,1,1,Northern,18,24,85.0,0.5,98.0,258.0,,,False,EST
2025,Finland,Ich komme,Erika Vikman,11.0,196.0,0.0,0.0,13.0,1.0,0.0,2.0,3.0,115.0,16.0,1,,1,F,0,1,Finnish,,,,,,0,True,1,0,Northern,3,1,253.0,0.6,88.0,108.0,,,False,FIN
2025,France,Maman,Louane,7.0,230.0,0.0,1.0,24.0,1.0,1.0,,,,,0,,1,F,0,1,French,,,,,,0,True,1,1,Western,7,6,137.0,,180.0,50.0,,,False,FRA
2025,Georgia,Freedom,Mariam Shengelia,,,,,,0.0,0.0,2.0,15.0,28.0,10.0,0,,1,F,0,1,Georgian,English,,,,,1,True,0,0,South-Eastern,37,37,0.0,0.5,,,,,False,GEO
2025,Germany,Baller,Abor & Tynna,15.0,151.0,0.0,0.0,16.0,1.0,1.0,,,,,1,,0,Mixed,0,2,German,,,,,,0,True,1,1,Central,8,13,44.0,,77.0,74.0,,,False,DEU
2025,Greece,Asteromata,Klavdia,6.0,231.0,0.0,1.0,17.0,1.0,0.0,2.0,4.0,112.0,7.0,1,,1,F,0,1,Greek,,,,,,0,True,1,1,Southern,9,12,57.0,0.85,105.0,126.0,,,False,GRC
2025,Iceland,Roa,Vaeb,25.0,33.0,0.0,0.0,10.0,1.0,0.0,1.0,6.0,97.0,1.0,1,,0,M,0,2,Icelandic,,,,,,0,True,0,1,Northern,26,5,0.0,0.55,0.0,33.0,,,False,ISL
2025,Ireland,Laika Party,Emmy,,,,,,0.0,0.0,2.0,13.0,28.0,3.0,1,,1,F,0,1,English,,,,,,0,False,1,0,Western,29,35,6.0,0.45,,,,,False,IRL
2025,Israel,New Day Will Rise,Yuval Raphael,2.0,357.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,203.0,14.0,0,,1,F,0,1,English,French,Hebrew,,,,1,True,0,0,South-Eastern,21,31,58.0,0.65,60.0,297.0,,,False,ISR
2025,Italy,Volevo essere un duro,Lucio Corsi,5.0,256.0,1.0,1.0,14.0,1.0,1.0,,,,,1,,1,M,0,1,Italian,,,,,,0,True,1,1,Western,20,26,8.0,,159.0,97.0,,,False,ITA
2025,Latvia,Bur man laimi,Tautumeitas,13.0,158.0,0.0,0.0,11.0,1.0,0.0,2.0,2.0,130.0,4.0,1,,0,F,0,6,Latvian,,,,,,0,True,1,1,Northern,23,36,2.0,0.35,116.0,42.0,,,False,LVA
2025,Lithuania,Tavo akys,Katarsis,16.0,96.0,0.0,0.0,5.0,1.0,0.0,2.0,6.0,103.0,8.0,1,,0,Mixed,0,4,Lithuanian,,,,,,0,True,1,1,Northern,16,28,1.0,0.65,34.0,62.0,,,False,LTU
2025,Luxembourg,La poupee monte le son,Laura Thorn,22.0,47.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,62.0,13.0,1,,1,F,0,1,French,,,,,,0,True,1,1,Western,24,16,39.0,1.0,23.0,24.0,,,False,LUX
2025,Malta,Serving,Miriana Conte,17.0,91.0,0.0,0.0,20.0,1.0,0.0,2.0,9.0,53.0,9.0,1,,1,F,0,1,English,,,,,,0,False,1,0,Western,5,22,164.0,0.5,83.0,8.0,,,False,MLT
2025,Montenegro,Dobrodosli,Nina Zizic,,,,,,0.0,0.0,2.0,16.0,12.0,2.0,1,,1,F,1,1,Montenegrin,,,,,,0,True,0,1,Southern,33,33,0.0,0.166666667,,,,,False,MNE
2025,Netherlands,C'est la vie,Claude,12.0,175.0,0.0,0.0,12.0,1.0,0.0,1.0,3.0,121.0,13.0,0,,1,M,0,1,French,English,,,,,1,False,1,1,Western,10,4,278.0,0.5,133.0,42.0,,,False,NLD
2025,Norway,Lighter,Kyle Alessandro,18.0,89.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,82.0,8.0,1,,1,M,0,1,English,,,,,,0,False,0,1,Northern,6,32,71.0,0.85,22.0,67.0,,,False,NOR
2025,Poland,Gaja,Justyna Steczkowska,14.0,156.0,0.0,0.0,15.0,1.0,0.0,1.0,7.0,85.0,2.0,1,,1,F,1,1,Polish,English,,,,,1,True,1,1,Eastern,11,15,8.0,0.444444444,17.0,139.0,,,False,POL
2025,Portugal,Deslocado,Napa,21.0,50.0,0.0,0.0,21.0,1.0,0.0,1.0,9.0,56.0,7.0,1,,0,M,0,5,Portuguese,,,,,,0,True,1,1,Western,28,10,0.0,0.5,37.0,13.0,,,False,PRT
2025,San Marino,Tutta l'Italia,Gabry Ponte,26.0,27.0,0.0,0.0,25.0,1.0,0.0,1.0,10.0,46.0,11.0,1,,1,M,0,1,Italian,,,,,,0,True,0,0,Western,25,23,36.0,0.214285714,9.0,18.0,,,False,SMR
2025,Serbia,Mila,Princ,,,,,,0.0,0.0,2.0,14.0,28.0,15.0,1,,1,M,0,1,Serbian,,,,,,0,True,0,0,Southern,36,25,0.0,0.8125,,,,,False,SRB
2025,Slovenia,How Much Time Do We Have Left,Klemen,,,,,,0.0,0.0,1.0,13.0,23.0,3.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Central,35,20,1.0,0.4,,,,,False,SVN
2025,Spain,Esa diva,Melody,24.0,37.0,0.0,0.0,6.0,1.0,1.0,,,,,1,,1,F,0,1,Spanish,,,,,,0,True,1,1,Western,13,8,136.0,,27.0,10.0,,,False,ESP
2025,Sweden,Bara bada bastu,KAJ,4.0,321.0,1.0,1.0,23.0,1.0,0.0,1.0,4.0,118.0,6.0,1,,0,M,0,3,Swedish,,,,,,0,True,1,0,Northern,2,2,421.0,0.95,126.0,195.0,,,False,SWE
2025,Switzerland,Voyage,Zoe Me,10.0,214.0,0.0,1.0,19.0,1.0,1.0,,,,,0,,1,F,0,1,French,,,,,,0,False,0,0,Central,12,7,44.0,0.45,214.0,0.0,,,False,CHE
2025,Ukraine,Bird of Pray,Ziferblat,9.0,218.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,137.0,5.0,1,,0,M,0,3,Ukrainian,English,,,,,1,True,0,0,Eastern,19,29,1.0,1.0,60.0,158.0,,,False,UKR
2025,United Kingdom,What the Hell Just Happened?,Remember Monday,19.0,88.0,0.0,0.0,8.0,1.0,1.0,,,,,0,,0,F,0,3,English,,,,,,0,True,0,1,Western,31,9,7.0,,88.0,0.0,,,False,GBR
2024,Albania,Titan,Besa,,,,,,0.0,0.0,2.0,15.0,14.0,2.0,1,,1,F,0,1,English,,,,,,0,False,0,1,Southern,34,21,0.0,0.578947368,,,,,False,ALB
2024,Armenia,Jako,Ladaniva,8.0,183.0,,1.0,19.0,1.0,0.0,2.0,3.0,137.0,8.0,0,,0,Mixed,0,2,Armenian,,,,,,0,True,0,0,South-Eastern,20,34,2.0,0.8,101.0,82.0,,,False,ARM
2024,Australia,One Milkali (One Blood),Electric Fields,,,,,,0.0,0.0,1.0,11.0,41.0,13.0,0,,0,M ,0,2,English,Yankunytjatjara,,,,,1,True,0,0,Western,32,3,5.0,0.875,,,,,False,AUS
2024,Austria,We Will Rave,Kaleen,24.0,24.0,,,26.0,1.0,0.0,2.0,9.0,46.0,6.0,0,,1,F,0,1,English,,,,,,0,False,1,0,Central,9,27,129.0,0.533333333,19.0,5.0,,,False,AUT
2024,Azerbaijan,Ozunle apar,Fahree ft. Ilkin Dovlatov,,,,,,0.0,0.0,1.0,14.0,11.0,12.0,0,,0,M,0,2,English,Azerbaijani,,,,,1,True,0,0,South-Eastern,29,22,3.0,0.866666667,,,,,False,AZE
2024,Belgium,Before the Party's Over,Mustii,,,,,,0.0,0.0,2.0,13.0,18.0,12.0,0,,1,M,0,1,English,,,,,,0,False,1,1,Western,5,9,223.0,0.473684211,,,,,False,BEL
2024,Croatia,Rim Tim Tagi Dim,Baby Lasagna,2.0,547.0,1.0,1.0,23.0,1.0,0.0,1.0,1.0,177.0,7.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Southern,3,12,356.0,0.470588235,210.0,337.0,,,False,HRV
2024,Cyprus,Liar,Silia Lapsis,15.0,78.0,,,20.0,1.0,0.0,1.0,6.0,67.0,1.0,0,,1,F,0,1,English,,,,,,0,False,1,0,South-Eastern,19,35,4.0,0.611111111,34.0,44.0,,,False,CYP
2024,Czech Republic,Pedestal,Aiko,,,,,,0.0,0.0,2.0,11.0,38.0,5.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Central,25,29,0.0,0.454545455,,,,,False,CZE
2024,Denmark,Sand,Saba,,,,,,0.0,0.0,2.0,12.0,36.0,7.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Northern,24,31,12.0,0.631578947,,,,,False,DNK
2024,Estonia,(Nendest) narkootikumidest ei tea me (kull) midagi,5miinust and Puuluup,20.0,37.0,,,9.0,1.0,0.0,2.0,6.0,79.0,13.0,1,,0,M,0,6,Estonian,,,,,,0,True,1,1,Northern,21,28,5.0,0.473684211,4.0,33.0,,,False,EST
2024,Finland,No Rules!,Windows95man,19.0,38.0,,,17.0,1.0,0.0,1.0,7.0,59.0,10.0,1,,0,M,0,2,English,,,,,,0,False,1,0,Northern,28,14,0.0,0.578947368,7.0,31.0,,,False,FIN
2024,France,Mon amour,Slimane,4.0,445.0,1.0,1.0,25.0,1.0,1.0,,,,,0,,1,M,0,1,French,,,,,,0,True,1,1,Western,11,1,188.0,,218.0,227.0,,,False,FRA
2024,Georgia,Firefighter,Nutsa Buzaladze,21.0,34.0,,,24.0,1.0,0.0,2.0,8.0,54.0,11.0,0,,1,F,0,1,English,,,,,,0,False,0,0,South-Eastern,18,26,1.0,0.466666667,15.0,19.0,,,False,GEO
2024,Germany,Always on the Run,Isaak,12.0,117.0,,,3.0,1.0,1.0,,,,,1,,1,M,0,1,English,,,,,,0,False,1,1,Central,31,2,0.0,,99.0,18.0,,,False,DEU
2024,Greece,Zari,Marina Satti ,11.0,126.0,,,12.0,1.0,0.0,2.0,5.0,86.0,3.0,0,,1,F,0,1,Greek,,,,,,0,True,1,1,Southern,4,37,91.0,0.842105263,41.0,85.0,,,False,GRC
2024,Iceland,Scared of Heights,Hera Bjork,,,,,,0.0,0.0,1.0,15.0,3.0,8.0,1,,1,F,1,1,English,,,,,,0,False,0,1,Northern,36,25,0.0,0.578947368,,,,,False,ISL
2024,Ireland,Doomsday Blue,Bambie Thug,6.0,278.0,,1.0,10.0,1.0,0.0,1.0,3.0,124.0,4.0,1,,1,F,0,1,English,,,,,,0,False,1,0,Western,22,30,0.0,0.421052632,142.0,136.0,,,False,IRL
2024,Israel,Hurricane,Eden Golan,5.0,375.0,1.0,1.0,6.0,1.0,0.0,2.0,1.0,194.0,14.0,1,,1,F,0,1,English,Hebrew,,,,,1,True,0,0,South-Eastern,17,10,53.0,0.631578947,52.0,323.0,,,False,ISR
2024,Italy,La noia,Angelina Mango,7.0,268.0,,1.0,15.0,1.0,1.0,,,,,1,,1,F,0,1,Italian,,,,,,0,True,1,1,Western,1,13,338.0,,164.0,104.0,,,False,ITA
2024,Latvia,Hollow,Dons,16.0,64.0,,,11.0,1.0,0.0,2.0,7.0,72.0,9.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Northern,35,17,0.0,0.315789474,36.0,28.0,,,False,LVA
2024,Lithuania,Luktelk,Silvester Belt,14.0,90.0,,,7.0,1.0,0.0,1.0,4.0,119.0,3.0,1,,1,M,0,1,Lithuanian,,,,,,0,True,1,1,Northern,7,8,108.0,0.631578947,32.0,58.0,,,False,LTU
2024,Luxembourg,Fighter,Tali,13.0,103.0,,,4.0,1.0,0.0,1.0,5.0,117.0,15.0,1,,1,F,0,1,French,English,,,,,1,True,1,1,Western,23,24,12.0,,83.0,20.0,,,False,LUX
2024,Malta,Loop,Sarah Bonnici,,,,,,0.0,0.0,2.0,16.0,13.0,1.0,1,,1,F,0,1,English,,,,,,0,False,1,0,Western,30,32,0.0,0.526315789,,,,,False,MLT
2024,Moldova,In the Middle,Natalia Barbu,,,,,,0.0,0.0,1.0,13.0,20.0,11.0,1,,1,F,1,1,English,,,,,,0,False,0,0,Eastern,37,33,0.0,0.684210526,,,,,False,MDA
2024,Netherlands,Europapa,Joost Klein,,,,,5.0,1.0,0.0,2.0,2.0,182.0,16.0,0,,1,M,0,1,Dutch,,,,,,0,True,1,1,Western,6,5,96.0,0.473684211,,,,,False,NLD
2024,Norway,Ulveham,Gate,25.0,16.0,,,14.0,1.0,0.0,2.0,10.0,43.0,15.0,1,,0,Mixed,0,5,Norwegian,,,,,,0,True,0,1,Northern,10,15,43.0,0.842105263,12.0,4.0,,,False,NOR
2024,Poland,The Tower,Luna,,,,,,0.0,0.0,1.0,12.0,35.0,6.0,0,,1,F,0,1,English,,,,,,0,False,1,1,Eastern,26,19,1.0,0.470588235,,,,,False,POL
2024,Portugal,Grito,Iolanda,10.0,152.0,,1.0,18.0,1.0,0.0,1.0,8.0,58.0,14.0,1,,1,F,0,1,Portuguese,,,,,,0,True,1,1,Western,27,36,0.0,0.470588235,139.0,13.0,,,False,PRT
2024,San Marino,11:11,Megara,,,,,,0.0,0.0,2.0,14.0,16.0,10.0,1,,0,Mixed,0,4,Spanish,English,,,,,1,False,0,0,Western,33,16,0.0,0.230769231,,,,,False,SMR
2024,Serbia,Ramonda,Teya Dora,17.0,54.0,,,16.0,1.0,0.0,1.0,10.0,47.0,2.0,1,,1,F,0,1,Serbian,,,,,,0,True,0,0,Southern,13,23,7.0,0.8,22.0,32.0,,,False,SRB
2024,Slovenia,Veronika,Raiven,23.0,27.0,,,22.0,1.0,0.0,1.0,9.0,51.0,9.0,0,,1,F,0,1,Slovene,,,,,,0,True,1,1,Central,15,18,10.0,0.368421053,15.0,12.0,,,False,SVN
2024,Spain,Zorra,Nebulossa,22.0,30.0,,,8.0,1.0,1.0,,,,,1,,0,Mixed,0,2,Spanish,,,,,,0,True,1,1,Western,14,11,103.0,,19.0,11.0,,,False,ESP
2024,Sweden,Unforgettable,Marcus & Martinus,9.0,174.0,,1.0,1.0,1.0,1.0,,,,,1,,0,M,0,2,English,,,,,,0,False,1,0,Northern,12,20,59.0,0.947368421,125.0,49.0,,,False,SWE
2024,Switzerland,The Code,Nemo,1.0,591.0,1.0,1.0,21.0,1.0,0.0,2.0,4.0,132.0,4.0,0,,1,M,0,1,English,,,,,,0,False,0,0,Central,2,6,290.0,0.421052632,365.0,226.0,,,False,CHE
2024,Ukraine,Teresa & Maria,Alyona Alyona & Jerry Heil,3.0,453.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,173.0,5.0,1,,0,F,0,2,Ukrainian,English,,,,,1,True,0,0,Eastern,8,4,150.0,1.0,146.0,307.0,,,False,UKR
2024,United Kingdom,Dizzy,Olly Alexander,18.0,46.0,,,13.0,1.0,1.0,,,,,0,,1,M,0,1,English,,,,,,0,True,0,1,Western,16,7,89.0,,46.0,0.0,,,False,GBR
2023,Albania,Duje,Albina & Familja Kelmendi,22.0,76.0,0.0,0.0,10.0,1.0,0.0,2.0,9.0,83.0,14.0,1,,0,Mixed,0,6,Albanian,,,,,,0,True,0,1,Southern,29,29,0.0,0.555555556,17.0,59.0,,,False,ALB
2023,Armenia,Future Lover,Brunette,14.0,122.0,0.0,0.0,17.0,1.0,0.0,2.0,6.0,99.0,2.0,0,,1,F,0,1,English, Armenian,,,,,1,False,0,0,South-Eastern,9,23,7.0,0.785714286,69.0,53.0,,,False,ARM
2023,Australia,Promise,Voyager,9.0,151.0,0.0,1.0,15.0,1.0,0.0,2.0,1.0,149.0,16.0,0,,0,Mixed,0,5,English,,,,,,0,True,0,0,Western,17,12,3.0,0.857142857,130.0,21.0,,,False,AUS
2023,Austria,Who The Hell Is Edgar?,Teya & Salena,15.0,120.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,137.0,13.0,0,,0,F,0,2,English,Italian,,,,,1,False,1,0,Central,4,8,228.0,0.5,104.0,16.0,,,False,AUT
2023,Azerbaijan,Tell Me More,TuralTuranX,,,,,,0.0,0.0,1.0,14.0,4.0,12.0,0,,0,M ,0,2,English,,,,,,0,False,0,0,South-Eastern,35,33,4.0,0.928571429,,,,,False,AZE
2023,Belgium,Because Of You,Gustaph,7.0,182.0,0.0,1.0,16.0,1.0,0.0,2.0,8.0,90.0,5.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Western,20,10,21.0,0.444444444,127.0,55.0,,,False,BEL
2023,Croatia,Mama SC!,Let 3,13.0,123.0,0.0,0.0,25.0,1.0,0.0,1.0,8.0,76.0,7.0,1,,0,M,0,6,Croatian,,,,,,0,True,1,1,Southern,26,34,1.0,0.4375,11.0,112.0,,,False,HRV
2023,Cyprus,Break A Broken Heart,Andrew Lambrou,12.0,126.0,0.0,0.0,7.0,1.0,0.0,2.0,7.0,94.0,6.0,0,,1,M,0,1,English,,,,,,0,False,1,0,South-Eastern,18,31,14.0,0.588235294,68.0,58.0,,,False,CYP
2023,Czech Republic,My Sister's Crown,Vesna,10.0,129.0,0.0,1.0,14.0,1.0,0.0,1.0,4.0,110.0,13.0,1,,0,F,0,6,English, Ukrainian, Czech, Bulgarian,,,1,False,1,1,Central,8,26,91.0,0.4,94.0,35.0,,,False,CZE
2023,Denmark,Breaking My Heart,Reiley,,,,,,0.0,0.0,2.0,14.0,6.0,1.0,1,,1,M,0,1,English,,,,,,0,False,1,1,Northern,31,18,0.0,0.666666667,,,,,False,DNK
2023,Estonia,Bridges,Alika,8.0,168.0,0.0,1.0,12.0,1.0,0.0,2.0,10.0,74.0,4.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Northern,14,22,6.0,0.444444444,146.0,22.0,,,False,EST
2023,Finland,Cha Cha Cha,Kaarija,2.0,526.0,1.0,1.0,13.0,1.0,0.0,1.0,1.0,177.0,15.0,1,,1,M,0,1,Finnish,,,,,,0,True,1,0,Northern,1,2,394.0,0.555555556,150.0,376.0,,,False,FIN
